cntry,ccnthum,ccrdprs,wrclmch,gndr,agea,eisced,impricha,ipeqopta,ipmodsta,impfuna,impenva
AT,Mainly human,8,Very worried,Male,41,Upper upper sec,Not like me,Very much like me,Somewhat like me,A little like me,Very much like me
AT,Mainly natural,3,Not very worried,Female,82,Upper upper sec,Somewhat like me,Very much like me,Like me,Somewhat like me,Like me
AT,Mainly human,7,Somewhat worried,Male,26,Upper upper sec,Not like me,Like me,Very much like me,Like me,Like me
AT,Equal natural and human,7,Somewhat worried,Male,42,Lower upper sec,NA,NA,NA,NA,NA
AT,Equal natural and human,8,Not very worried,Female,85,Upper upper sec,Like me,Very much like me,Very much like me,Very much like me,Very much like me
AT,Mainly human,8,Extremely worried,Male,72,Upper upper sec,Somewhat like me,Very much like me,Like me,Very much like me,Very much like me
AT,Equal natural and human,3,Not very worried,Male,31,Upper upper sec,Somewhat like me,Somewhat like me,A little like me,Like me,Like me
AT,Natural processes,2,Not very worried,Male,47,Lower tertiary,NA,Somewhat like me,Somewhat like me,Like me,Somewhat like me
AT,Mainly human,7,Somewhat worried,Female,50,Upper upper sec,A little like me,Somewhat like me,Somewhat like me,A little like me,Somewhat like me
AT,Equal natural and human,A lot,Somewhat worried,Female,60,Advanced voc,Not at all like me,Very much like me,Like me,Not like me,Very much like me
AT,Mainly human,8,Very worried,Female,43,Higher tertiary,A little like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
AT,Equal natural and human,5,Somewhat worried,Female,41,Upper upper sec,Somewhat like me,Like me,A little like me,Somewhat like me,Like me
AT,Equal natural and human,5,Somewhat worried,Female,35,Advanced voc,A little like me,Like me,Like me,Not like me,Somewhat like me
AT,Natural processes,1,Not worried,Female,49,Lower upper sec,A little like me,Very much like me,Somewhat like me,Like me,Very much like me
AT,Mainly human,4,Very worried,Female,36,Upper upper sec,A little like me,Like me,A little like me,Like me,Like me
AT,Entirely human,9,Extremely worried,Male,46,Other,A little like me,Like me,Very much like me,A little like me,Like me
AT,Equal natural and human,5,Somewhat worried,Female,81,Lower upper sec,Not at all like me,Somewhat like me,Like me,Somewhat like me,Very much like me
AT,Equal natural and human,A lot,Very worried,Female,57,Upper upper sec,Not like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
AT,Equal natural and human,A lot,Very worried,Female,67,Lower tertiary,Not at all like me,Very much like me,Somewhat like me,A little like me,Very much like me
AT,Equal natural and human,5,Somewhat worried,Female,38,Upper upper sec,Somewhat like me,Very much like me,Not like me,Very much like me,Very much like me
AT,Equal natural and human,5,Very worried,Female,42,Lower tertiary,Like me,Like me,A little like me,Like me,Somewhat like me
AT,Equal natural and human,4,Somewhat worried,Female,59,Lower upper sec,Not at all like me,Very much like me,Like me,Not like me,Very much like me
AT,Mainly human,9,Very worried,Male,77,Lower upper sec,Not at all like me,Very much like me,Like me,Not like me,Very much like me
AT,Mainly human,7,Somewhat worried,Male,58,Upper upper sec,Like me,Like me,Like me,Somewhat like me,Very much like me
AT,Mainly natural,2,Somewhat worried,Female,38,Upper upper sec,Somewhat like me,Like me,A little like me,Like me,Like me
AT,Mainly human,4,Very worried,Female,79,Upper upper sec,Not at all like me,Like me,Somewhat like me,Like me,Like me
AT,Equal natural and human,Not at all,Not worried,Female,25,Upper upper sec,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,9,Very worried,Female,34,Upper upper sec,Not at all like me,Somewhat like me,Like me,Very much like me,Like me
AT,Equal natural and human,5,Not very worried,Male,74,Other,A little like me,Like me,Somewhat like me,Like me,Somewhat like me
AT,Equal natural and human,6,Somewhat worried,Male,74,Upper upper sec,Somewhat like me,Somewhat like me,A little like me,Somewhat like me,Somewhat like me
AT,Mainly human,7,Very worried,Female,36,Higher tertiary,A little like me,Like me,A little like me,Somewhat like me,Like me
AT,Mainly human,6,Somewhat worried,Male,28,Upper upper sec,Like me,Somewhat like me,Somewhat like me,Somewhat like me,Like me
AT,Mainly human,1,Very worried,Male,65,Upper upper sec,Somewhat like me,Like me,A little like me,Somewhat like me,Not like me
AT,Entirely human,4,Very worried,Female,42,Lower upper sec,Not like me,Like me,Somewhat like me,Not at all like me,Like me
AT,Mainly human,3,Very worried,Male,60,Other,Very much like me,Very much like me,Very much like me,Like me,Very much like me
AT,Entirely human,7,Extremely worried,Male,60,Upper upper sec,Like me,Very much like me,Like me,Not like me,Like me
AT,Equal natural and human,6,Somewhat worried,Female,16,Lower upper sec,Somewhat like me,Somewhat like me,A little like me,Somewhat like me,Like me
AT,Mainly natural,2,Not very worried,Male,28,Lower tertiary,Somewhat like me,Like me,Somewhat like me,Like me,Very much like me
AT,Mainly human,1,Very worried,Female,71,Upper upper sec,A little like me,Like me,Like me,Like me,Very much like me
AT,Mainly human,5,Somewhat worried,Female,20,Upper upper sec,Very much like me,Somewhat like me,A little like me,Very much like me,Very much like me
AT,Equal natural and human,8,Somewhat worried,Female,80,Lower upper sec,Not at all like me,Somewhat like me,Very much like me,Not at all like me,Very much like me
AT,Equal natural and human,6,Somewhat worried,Female,75,Lower upper sec,Not at all like me,Very much like me,Very much like me,Very much like me,Very much like me
AT,Equal natural and human,5,Somewhat worried,Male,51,Lower tertiary,A little like me,Somewhat like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,9,Extremely worried,Female,87,Upper upper sec,A little like me,Very much like me,Very much like me,Not at all like me,Very much like me
AT,Mainly human,6,Very worried,Female,57,Lower tertiary,A little like me,Somewhat like me,Like me,Like me,Like me
AT,Entirely human,3,Somewhat worried,Male,76,Upper upper sec,Not like me,Somewhat like me,A little like me,Not like me,A little like me
AT,Mainly human,3,Somewhat worried,Male,61,Upper upper sec,Like me,Somewhat like me,Somewhat like me,A little like me,Somewhat like me
AT,Mainly human,A lot,Very worried,Female,43,Upper upper sec,Somewhat like me,Like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,6,Somewhat worried,Female,76,Lower upper sec,Somewhat like me,A little like me,Very much like me,Somewhat like me,Like me
AT,Equal natural and human,8,Somewhat worried,Female,43,Lower tertiary,Not like me,A little like me,Like me,Like me,Somewhat like me
AT,Mainly human,8,Very worried,Male,51,Upper upper sec,Somewhat like me,Very much like me,Very much like me,Like me,Very much like me
AT,Mainly human,7,Very worried,Male,69,Lower tertiary,Not like me,Like me,Like me,Somewhat like me,Like me
AT,Equal natural and human,7,Very worried,Female,47,Higher tertiary,A little like me,Like me,Like me,Like me,Very much like me
AT,Natural processes,2,Somewhat worried,Male,89,Upper upper sec,A little like me,Like me,Like me,Somewhat like me,Somewhat like me
AT,Mainly human,4,Somewhat worried,Male,72,Upper upper sec,A little like me,Very much like me,Like me,Somewhat like me,Very much like me
AT,Mainly human,6,Somewhat worried,Female,74,Upper upper sec,Like me,Like me,Somewhat like me,A little like me,Like me
AT,Mainly human,7,Somewhat worried,Female,68,Lower tertiary,A little like me,Like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,6,Somewhat worried,Female,36,Lower tertiary,Somewhat like me,Like me,A little like me,Somewhat like me,Like me
AT,Mainly human,8,Very worried,Male,87,Lower tertiary,Somewhat like me,Somewhat like me,A little like me,Somewhat like me,Like me
AT,Mainly human,7,Not very worried,Female,74,Lower upper sec,A little like me,Somewhat like me,Like me,Somewhat like me,Somewhat like me
AT,Mainly human,5,Very worried,Male,24,Upper upper sec,A little like me,Somewhat like me,Like me,Somewhat like me,Somewhat like me
AT,Mainly human,9,Extremely worried,Male,59,Upper upper sec,Not like me,Like me,A little like me,A little like me,Very much like me
AT,Equal natural and human,2,Somewhat worried,Female,21,Advanced voc,Like me,Like me,A little like me,Like me,Very much like me
AT,Mainly human,1,Somewhat worried,Male,32,Upper upper sec,Like me,Like me,Like me,Very much like me,Very much like me
AT,Mainly human,4,Somewhat worried,Female,47,Lower tertiary,Somewhat like me,Like me,Somewhat like me,Somewhat like me,Like me
AT,Mainly human,9,Extremely worried,Male,45,Other,Somewhat like me,Like me,A little like me,Somewhat like me,Like me
AT,Mainly human,8,Very worried,Male,44,Lower tertiary,A little like me,Very much like me,Like me,Like me,Very much like me
AT,NA,8,Very worried,Male,68,Upper upper sec,Like me,Like me,Not like me,Very much like me,Very much like me
AT,Mainly human,7,Very worried,Male,20,Upper upper sec,Very much like me,Like me,A little like me,Very much like me,Very much like me
AT,Mainly human,8,Very worried,Male,33,Lower tertiary,Somewhat like me,Like me,Somewhat like me,A little like me,Like me
AT,Equal natural and human,9,Very worried,Male,27,Upper upper sec,Not like me,Like me,Like me,A little like me,Like me
AT,Mainly natural,5,Not very worried,Male,28,Upper upper sec,Somewhat like me,Like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,8,Somewhat worried,Male,73,Upper upper sec,Somewhat like me,Very much like me,Like me,Like me,Like me
AT,Mainly human,8,Very worried,Male,62,Upper upper sec,Not like me,Somewhat like me,A little like me,Somewhat like me,Very much like me
AT,Equal natural and human,5,Somewhat worried,Male,58,Upper upper sec,Not at all like me,Like me,Somewhat like me,Not like me,Like me
AT,Equal natural and human,A lot,Somewhat worried,Female,90,Other,A little like me,A little like me,A little like me,A little like me,A little like me
AT,Mainly human,8,Very worried,Male,38,Lower tertiary,Not like me,Like me,A little like me,Not like me,Very much like me
AT,Equal natural and human,5,Somewhat worried,Female,85,Lower upper sec,A little like me,Very much like me,Like me,A little like me,Like me
AT,Equal natural and human,9,Extremely worried,Female,74,Upper upper sec,A little like me,Very much like me,Very much like me,A little like me,Very much like me
AT,Mainly human,8,Very worried,Male,42,Other,Not like me,Very much like me,Somewhat like me,Somewhat like me,Like me
AT,Mainly natural,5,Somewhat worried,Female,51,Higher tertiary,A little like me,Somewhat like me,A little like me,Somewhat like me,Somewhat like me
AT,Equal natural and human,Not at all,Very worried,Male,76,Upper upper sec,Not at all like me,Like me,Very much like me,A little like me,Very much like me
AT,Equal natural and human,3,Somewhat worried,Female,70,Upper upper sec,Not like me,Not like me,Like me,A little like me,Like me
AT,Natural processes,Not at all,Not worried,Male,28,Upper upper sec,Not like me,Very much like me,Very much like me,Like me,Not like me
AT,Mainly human,6,Somewhat worried,Male,18,Lower upper sec,Somewhat like me,Like me,Somewhat like me,Very much like me,Somewhat like me
AT,Equal natural and human,A lot,Extremely worried,Male,64,Upper upper sec,A little like me,Very much like me,Like me,Like me,Very much like me
AT,Equal natural and human,5,Somewhat worried,Male,59,Upper upper sec,Not like me,Like me,Like me,Very much like me,Very much like me
AT,Equal natural and human,7,Somewhat worried,Female,49,Upper upper sec,A little like me,Like me,Like me,Somewhat like me,Like me
AT,Mainly human,7,Somewhat worried,Male,70,Lower tertiary,Not like me,Like me,Like me,A little like me,Somewhat like me
AT,Equal natural and human,3,Somewhat worried,Female,71,Upper upper sec,Not like me,Like me,Not like me,Somewhat like me,Somewhat like me
AT,Equal natural and human,8,Extremely worried,Male,58,Higher tertiary,Not like me,Very much like me,Like me,Like me,Very much like me
AT,Entirely human,A lot,Extremely worried,Male,83,Upper upper sec,A little like me,Very much like me,Very much like me,Not like me,Very much like me
AT,Equal natural and human,7,Somewhat worried,Female,74,Higher tertiary,A little like me,Like me,A little like me,Like me,Somewhat like me
AT,Equal natural and human,8,Very worried,Female,86,Other,Not at all like me,Very much like me,Like me,Somewhat like me,Very much like me
AT,Mainly human,8,Very worried,Female,26,Lower upper sec,Somewhat like me,Like me,A little like me,Like me,Very much like me
AT,Equal natural and human,3,Not very worried,Male,52,Upper upper sec,Like me,Like me,A little like me,A little like me,Like me
AT,Equal natural and human,5,Very worried,Male,63,Lower tertiary,Like me,Like me,A little like me,Somewhat like me,Like me
AT,Equal natural and human,5,Somewhat worried,Female,61,Upper upper sec,A little like me,Like me,Somewhat like me,Very much like me,Somewhat like me
AT,Mainly human,8,Very worried,Female,47,Upper upper sec,Not like me,Very much like me,Like me,Not like me,Like me
AT,Mainly human,9,Very worried,Male,70,Upper upper sec,Somewhat like me,Somewhat like me,A little like me,Like me,Very much like me
AT,Entirely human,A lot,Extremely worried,Female,67,Not harmonised,Not like me,Very much like me,Like me,Somewhat like me,Very much like me
AT,Equal natural and human,9,Very worried,Male,68,Upper upper sec,Somewhat like me,Like me,A little like me,Very much like me,Very much like me
AT,Mainly human,6,Somewhat worried,Female,50,Other,Somewhat like me,Somewhat like me,Like me,Not like me,Somewhat like me
AT,Mainly natural,2,Not very worried,Male,62,Advanced voc,Like me,Like me,A little like me,Like me,Somewhat like me
AT,Equal natural and human,5,Somewhat worried,Female,64,Upper upper sec,Not at all like me,Somewhat like me,Like me,Very much like me,Very much like me
AT,Equal natural and human,6,Somewhat worried,Male,39,Higher tertiary,Somewhat like me,Very much like me,Very much like me,Very much like me,Somewhat like me
AT,Mainly natural,6,Somewhat worried,Female,43,Upper upper sec,Not at all like me,Very much like me,Very much like me,Very much like me,A little like me
AT,Mainly human,5,Very worried,Male,47,Upper upper sec,Like me,Very much like me,Like me,Somewhat like me,Very much like me
AT,Equal natural and human,4,Not very worried,Female,30,Upper upper sec,Somewhat like me,Very much like me,NA,Somewhat like me,Very much like me
AT,Mainly human,8,Very worried,Female,77,Upper upper sec,Somewhat like me,Like me,A little like me,Like me,Very much like me
AT,Mainly human,2,Somewhat worried,Female,48,Lower tertiary,A little like me,Somewhat like me,Not like me,Not like me,Somewhat like me
AT,Mainly human,1,Somewhat worried,Female,35,Higher tertiary,Like me,Like me,Very much like me,Not at all like me,Like me
AT,Mainly human,1,Very worried,Male,48,Upper upper sec,A little like me,Somewhat like me,Very much like me,Like me,Like me
AT,Equal natural and human,3,Not very worried,Male,53,Lower tertiary,A little like me,Like me,Somewhat like me,Like me,A little like me
AT,Equal natural and human,7,Very worried,Male,54,Lower tertiary,Somewhat like me,Like me,Like me,Somewhat like me,Somewhat like me
AT,Mainly human,9,Very worried,Male,50,Upper upper sec,Not like me,Very much like me,Somewhat like me,A little like me,Very much like me
AT,Mainly human,7,Somewhat worried,Female,42,Upper upper sec,Somewhat like me,Very much like me,A little like me,Somewhat like me,Very much like me
AT,NA,5,Somewhat worried,Male,46,Upper upper sec,A little like me,Like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,5,Somewhat worried,Male,53,Upper upper sec,Somewhat like me,Somewhat like me,Like me,Like me,Like me
AT,Equal natural and human,6,Somewhat worried,Female,33,Upper upper sec,Like me,NA,NA,Like me,Like me
AT,Equal natural and human,5,Very worried,Male,23,Lower tertiary,Like me,Somewhat like me,Somewhat like me,Like me,Somewhat like me
AT,Entirely human,7,Very worried,Male,73,Lower upper sec,Like me,Very much like me,Not like me,Not like me,Somewhat like me
AT,Equal natural and human,9,Very worried,Male,55,Lower tertiary,Like me,A little like me,Like me,Not like me,Somewhat like me
AT,Mainly human,9,Very worried,Female,64,Upper upper sec,Not at all like me,Like me,A little like me,Not like me,Very much like me
AT,Equal natural and human,A lot,Very worried,Female,76,Higher tertiary,Not like me,Very much like me,A little like me,Not like me,Very much like me
AT,Mainly human,7,Somewhat worried,Male,57,Lower tertiary,Not like me,Very much like me,A little like me,Somewhat like me,Very much like me
AT,Mainly human,5,Somewhat worried,Male,69,Other,Somewhat like me,Very much like me,Like me,Like me,Very much like me
AT,Equal natural and human,6,Somewhat worried,Female,47,Lower tertiary,A little like me,Like me,Somewhat like me,Like me,Like me
AT,Mainly human,7,Somewhat worried,Female,57,Higher tertiary,A little like me,Very much like me,Not like me,A little like me,Like me
AT,Equal natural and human,4,Not very worried,Female,57,Upper upper sec,Like me,Somewhat like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,1,Somewhat worried,Male,90,Upper upper sec,Somewhat like me,Like me,Like me,Not like me,Like me
AT,Mainly natural,9,Not very worried,Male,44,Higher tertiary,Very much like me,Somewhat like me,Very much like me,Very much like me,Like me
AT,Equal natural and human,4,Very worried,Female,73,Other,A little like me,Like me,A little like me,Somewhat like me,Like me
AT,Equal natural and human,5,Not very worried,Female,78,Lower upper sec,A little like me,Like me,Like me,A little like me,Like me
AT,Entirely human,A lot,Very worried,Female,72,Lower upper sec,Not at all like me,Very much like me,Like me,Very much like me,Very much like me
AT,Mainly natural,3,Somewhat worried,Female,54,Higher tertiary,Somewhat like me,Very much like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,6,Very worried,Female,24,Upper upper sec,Somewhat like me,Like me,Like me,Like me,Like me
AT,Equal natural and human,2,Not worried,Female,42,Lower upper sec,A little like me,A little like me,Like me,Somewhat like me,Somewhat like me
AT,Mainly human,8,Very worried,Male,17,Lower upper sec,Not at all like me,Like me,Like me,Very much like me,Like me
AT,Equal natural and human,5,Somewhat worried,Female,59,Upper upper sec,A little like me,Somewhat like me,Like me,A little like me,Like me
AT,Mainly human,4,Somewhat worried,Female,81,Lower upper sec,Not like me,Like me,Like me,Not like me,Like me
AT,Mainly human,7,Very worried,Female,50,Lower tertiary,Somewhat like me,Like me,Somewhat like me,Somewhat like me,Very much like me
AT,Equal natural and human,3,Very worried,Male,45,Other,Somewhat like me,Very much like me,Very much like me,Like me,Very much like me
AT,Equal natural and human,6,Somewhat worried,Male,62,Lower upper sec,Not like me,Somewhat like me,A little like me,A little like me,Somewhat like me
AT,Mainly human,A lot,Very worried,Female,71,Upper upper sec,Not like me,Very much like me,Very much like me,Like me,Very much like me
AT,Equal natural and human,3,Not very worried,Male,58,Other,A little like me,Like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,1,Not worried,Male,53,Upper upper sec,A little like me,Very much like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,7,Somewhat worried,Female,54,Advanced voc,Somewhat like me,Very much like me,Very much like me,Like me,Somewhat like me
AT,Equal natural and human,5,Somewhat worried,Female,65,Upper upper sec,Not like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me
AT,Equal natural and human,5,Somewhat worried,Female,29,Upper upper sec,Somewhat like me,Very much like me,Somewhat like me,Somewhat like me,Like me
AT,Mainly natural,1,Somewhat worried,Female,29,Upper upper sec,A little like me,Like me,Somewhat like me,Like me,Like me
AT,Mainly human,8,Very worried,Female,67,Upper upper sec,Somewhat like me,Very much like me,Somewhat like me,Very much like me,Very much like me
AT,Mainly human,5,Somewhat worried,Male,69,Upper upper sec,A little like me,Like me,A little like me,Like me,Like me
AT,Mainly human,6,Somewhat worried,Male,25,Upper upper sec,Like me,Like me,Like me,Like me,Like me
AT,Mainly human,8,Very worried,Male,44,Lower tertiary,A little like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
AT,Equal natural and human,A lot,Very worried,Female,70,Upper upper sec,A little like me,Very much like me,Like me,Somewhat like me,Very much like me
AT,Mainly human,6,Extremely worried,Female,61,Lower secondary,Not like me,Like me,Like me,A little like me,Very much like me
AT,Mainly natural,3,Not very worried,Female,64,Lower upper sec,A little like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
AT,Mainly natural,7,Not very worried,Male,56,Higher tertiary,A little like me,Somewhat like me,Very much like me,Like me,Like me
AT,Mainly human,1,Not very worried,Male,71,Lower upper sec,Not like me,Like me,Like me,Not like me,Somewhat like me
AT,Mainly natural,Not at all,Not very worried,Male,74,Advanced voc,Somewhat like me,Like me,Like me,Like me,Like me
AT,Mainly human,2,Not very worried,Female,19,Lower upper sec,Somewhat like me,Very much like me,A little like me,Somewhat like me,Very much like me
AT,Equal natural and human,6,Somewhat worried,Male,48,Lower tertiary,A little like me,Very much like me,Somewhat like me,A little like me,A little like me
AT,Mainly human,7,Very worried,Female,39,Lower tertiary,A little like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
AT,Mainly human,8,Very worried,Male,69,Lower tertiary,A little like me,Like me,Like me,Like me,Like me
AT,Mainly human,6,Somewhat worried,Male,81,Not harmonised,A little like me,Like me,Somewhat like me,Somewhat like me,Like me
AT,Equal natural and human,A lot,Very worried,Female,80,Upper upper sec,Somewhat like me,Very much like me,Somewhat like me,Somewhat like me,Very much like me
AT,Equal natural and human,5,Somewhat worried,Female,34,Higher tertiary,Not at all like me,Not at all like me,Like me,Like me,Like me
AT,Mainly human,8,Very worried,Female,81,Upper upper sec,A little like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me
AT,Mainly human,5,Somewhat worried,Male,57,Upper upper sec,A little like me,Like me,Like me,Somewhat like me,Very much like me
AT,Entirely human,A lot,Extremely worried,Female,30,Advanced voc,Somewhat like me,Like me,A little like me,Like me,Very much like me
AT,Entirely human,9,Extremely worried,Female,70,Higher tertiary,A little like me,Very much like me,A little like me,Somewhat like me,Very much like me
AT,Mainly human,A lot,Very worried,Female,77,Upper upper sec,Not at all like me,Very much like me,Somewhat like me,Like me,Very much like me
AT,Mainly human,7,Very worried,Female,66,Upper upper sec,Somewhat like me,Very much like me,Somewhat like me,Not like me,Like me
AT,Equal natural and human,6,Somewhat worried,Male,54,Upper upper sec,Very much like me,A little like me,Very much like me,Very much like me,Very much like me
AT,Equal natural and human,3,Somewhat worried,Male,68,Upper upper sec,Somewhat like me,Very much like me,Like me,Not like me,Very much like me
AT,Equal natural and human,5,Somewhat worried,Female,70,Advanced voc,A little like me,Like me,Somewhat like me,Somewhat like me,Like me
AT,Mainly human,NA,Not very worried,Female,53,Upper upper sec,Not like me,Very much like me,Like me,A little like me,Very much like me
AT,Mainly human,8,Very worried,Male,52,Lower tertiary,Not like me,Very much like me,A little like me,Not like me,Very much like me
AT,Equal natural and human,7,Not very worried,Male,76,Upper upper sec,Not at all like me,Like me,Like me,Somewhat like me,Like me
AT,Equal natural and human,7,Somewhat worried,Female,77,Higher tertiary,Not at all like me,Like me,Like me,A little like me,Somewhat like me
AT,Equal natural and human,4,Somewhat worried,Female,40,Lower upper sec,A little like me,Like me,Somewhat like me,Somewhat like me,Somewhat like me
AT,Equal natural and human,5,Somewhat worried,Female,50,Lower tertiary,A little like me,Like me,Somewhat like me,Somewhat like me,Like me
AT,Mainly human,8,Extremely worried,Female,60,Upper upper sec,A little like me,Very much like me,Very much like me,Very much like me,Very much like me
AT,Equal natural and human,7,Somewhat worried,Female,73,Lower tertiary,Somewhat like me,A little like me,Very much like me,Somewhat like me,Like me
AT,Mainly natural,3,Not very worried,Male,65,Upper upper sec,Somewhat like me,Very much like me,A little like me,Like me,Somewhat like me
AT,Equal natural and human,7,Not very worried,Male,58,Higher tertiary,Like me,Like me,A little like me,A little like me,Like me
AT,Equal natural and human,A lot,Extremely worried,Male,89,Lower tertiary,Somewhat like me,Very much like me,Somewhat like me,Not like me,Very much like me
AT,Mainly natural,4,Not very worried,Male,48,Lower tertiary,Somewhat like me,Somewhat like me,A little like me,Like me,A little like me
AT,Equal natural and human,8,Somewhat worried,Female,84,Upper upper sec,Not like me,Very much like me,Somewhat like me,Somewhat like me,Like me
AT,Mainly human,8,Very worried,Female,41,Upper upper sec,Somewhat like me,Very much like me,Like me,Like me,Very much like me
AT,Equal natural and human,3,Not very worried,Female,86,Lower upper sec,A little like me,Like me,Like me,A little like me,Like me
AT,Mainly human,8,Extremely worried,Female,60,Upper upper sec,A little like me,Like me,Like me,Like me,Like me
AT,Equal natural and human,Not at all,Very worried,Male,61,Upper upper sec,A little like me,Very much like me,NA,A little like me,Very much like me
AT,Mainly human,7,Very worried,Male,51,Upper upper sec,Somewhat like me,Like me,Somewhat like me,Like me,Very much like me
AT,Equal natural and human,4,Somewhat worried,Male,36,Upper upper sec,Somewhat like me,Very much like me,Not like me,Like me,Very much like me
AT,Mainly human,9,Somewhat worried,Female,40,Other,A little like me,Very much like me,Very much like me,Somewhat like me,Very much like me
AT,Equal natural and human,8,Very worried,Female,57,Upper upper sec,Not at all like me,Very much like me,Like me,Like me,Very much like me
AT,Equal natural and human,6,Somewhat worried,Male,75,Upper upper sec,Like me,Not like me,Very much like me,Somewhat like me,Like me
AT,Equal natural and human,5,Somewhat worried,Female,90,Lower upper sec,Not like me,Very much like me,Somewhat like me,A little like me,Like me
AT,Mainly human,9,Very worried,Male,65,Other,Not at all like me,Very much like me,Somewhat like me,A little like me,Very much like me
AT,Mainly natural,7,Not very worried,Male,45,Upper upper sec,Not like me,A little like me,Very much like me,Like me,Like me
AT,Mainly human,9,Very worried,Female,47,Upper upper sec,Somewhat like me,Like me,Like me,Like me,Very much like me
AT,Mainly human,A lot,Extremely worried,Female,26,Advanced voc,Somewhat like me,Very much like me,A little like me,Very much like me,Very much like me
AT,Equal natural and human,2,Not very worried,Female,75,Lower secondary,Not like me,Very much like me,Like me,A little like me,Very much like me
AT,Mainly natural,2,Not very worried,Male,35,Upper upper sec,A little like me,Like me,Like me,A little like me,Somewhat like me
AT,Mainly natural,4,Somewhat worried,Female,52,Upper upper sec,Like me,Like me,Like me,Like me,Like me
AT,Equal natural and human,6,Somewhat worried,Female,28,Upper upper sec,Not at all like me,Like me,Very much like me,Very much like me,Very much like me
AT,Mainly natural,7,Very worried,Male,56,Lower tertiary,Very much like me,Like me,Very much like me,Somewhat like me,Like me
AT,Equal natural and human,8,Not very worried,Male,67,Upper upper sec,Not like me,Very much like me,Like me,Like me,Like me
AT,Equal natural and human,4,Somewhat worried,Female,63,Lower tertiary,NA,A little like me,Somewhat like me,Somewhat like me,Like me
AT,NA,5,Very worried,Female,81,Upper upper sec,A little like me,Like me,Like me,A little like me,Like me
AT,Mainly human,9,Extremely worried,Male,64,Advanced voc,Not like me,Very much like me,Like me,Somewhat like me,Very much like me
AT,Mainly human,9,Very worried,Female,51,Advanced voc,Somewhat like me,Very much like me,Like me,Like me,Very much like me
AT,Mainly human,5,Somewhat worried,Female,21,Upper upper sec,Like me,Very much like me,A little like me,Very much like me,Somewhat like me
AT,Equal natural and human,6,Extremely worried,Female,66,Higher tertiary,A little like me,Very much like me,A little like me,Not at all like me,Like me
AT,Equal natural and human,9,Somewhat worried,Female,17,Lower upper sec,Not at all like me,Like me,Very much like me,Very much like me,Very much like me
